"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)","Mapping: RIM Mapping"
"EHDSDischargeReport","EHDSDischargeReport","","","",0,*,"","","","null {[]} {[]}
","Discharge Report model","A generic, flexible model for any kind of discharge report. Different types of encounters may require adding relevant sections and elements, or omitting irrelevant ones, depending on their data needs.","","","","","","","","","",,,,,"",,,,"Base",0,*,"","","n/a"
"EHDSDischargeReport.header","EHDSDischargeReport.header","","","",1,1,"","","","Base {[]} {[]}
","Discharge report header.","Discharge report header.","","","","","","","","","",,,,,"",,,,"EHDSDataSet.header",1,1,"",""
"EHDSDischargeReport.header.subject","EHDSDischargeReport.header.subject","","","",1,1,"","","","http://ehds.eu/fhir/models/StructureDefinition/EHDSPatient {[]} {[]}
","Patient/subject information.","Patient/subject information.","","","","","","","","","",,,,,"",,,,"EHDSDataSet.header.subject",1,1,"",""
"EHDSDischargeReport.header.identifier","EHDSDischargeReport.header.identifier","","","",1,*,"","","","Identifier {[]} {[]}
","Unique identifier of the document.","Unique identifier of the document.","Business identifier is unique within the system that assigns them. The same entity may have different unique identifiers assigned by different systems. Therefore, the identifier is always expected to be a pair of a system and a value.","","","","","","","","",,,,,"",,,,"EHDSDataSet.header.identifier",0,*,"",""
"EHDSDischargeReport.header.author[x]","EHDSDischargeReport.header.author[x]","","","",1,*,"","","","http://ehds.eu/fhir/models/StructureDefinition/EHDSHealthProfessional {[]} {[]}
http://ehds.eu/fhir/models/StructureDefinition/EHDSOrganisation {[]} {[]}http://ehds.eu/fhir/models/StructureDefinition/EHDSDevice {[]} {[]}http://ehds.eu/fhir/models/StructureDefinition/EHDSPatient {[]} {[]}http://ehds.eu/fhir/models/StructureDefinition/EHDSRelatedPerson {[]} {[]}","Author of the document.","Author of the document.","Author(s) responsible for the provided information. The exact role of the responsible author varies across use cases and is specific to individual models.","","","","","","","","",,,,,"",,,,"EHDSDataSet.header.author[x]",0,*,"",""
"EHDSDischargeReport.header.patientInsertedData","EHDSDischargeReport.header.patientInsertedData","","","",0,1,"","","","boolean {[]} {[]}
","Indicator that states, when included with value ‘true’, that the contents of this resource represent information inserted by the natural person or their representative. In this case, the contents shall not be considered as verified by a health professional or a healthcare provider, even if digitally signed by them as part of a bigger data set. Details of the person who inserted the information may be provided in the author[x] element.","Indicator that states, when included with value ‘true’, that the contents of this resource represent information inserted by the natural person or their representative. In this case, the contents shall not be considered as verified by a health professional or a healthcare provider, even if digitally signed by them as part of a bigger data set. Details of the person who inserted the information may be provided in the author[x] element.","","","","","","","","","",,,,,"",,,,"EHDSDataSet.header.patientInsertedData",0,1,"",""
"EHDSDischargeReport.header.date","EHDSDischargeReport.header.date","","","",1,1,"","","","dateTime {[]} {[]}
","Date of finalising/issuing the document.","Date of finalising/issuing the document.","","","","","","","","","",,,,,"",,,,"EHDSDataSet.header.date",0,1,"",""
"EHDSDischargeReport.header.status","EHDSDischargeReport.header.status","","","",1,1,"","","","CodeableConcept {[]} {[]}
","Status of the document.","Status of the document.","","","","","","","","","",,"required","HL7 Composition Status","","",,,,"EHDSDataSet.header.status",1,1,"",""
"EHDSDischargeReport.header.language","EHDSDischargeReport.header.language","","","",0,1,"","","","CodeableConcept {[]} {[]}
","Language in which the document is written. Language is expressed by the IETF language tag.","Language in which the document is written. Language is expressed by the IETF language tag.","","","","","","","","","",,"required","BCP 47","","",,,,"EHDSDataSet.header.language",0,1,"",""
"EHDSDischargeReport.header.documentType","EHDSDischargeReport.header.documentType","","","",1,1,"","","","CodeableConcept {[]} {[]}
","Type of document, e.g. 34105-7 Hospital discharge summary.","Type of document, e.g. 34105-7 Hospital discharge summary.","","","","","","","","","",,"required","LOINC","","",,,,"EHDSDocument.header.documentType",1,1,"",""
"EHDSDischargeReport.header.documentTitle","EHDSDischargeReport.header.documentTitle","","","",1,1,"","","","string {[]} {[]}
","Human readable document title that can be displayed in search results, etc. This can be documentType’s display name or it can contain further information. Example: 'Hospital discharge report. Jane Green. 07.10.2025-10.10.2025'.","Title of the document, possibly autogenerated from the structured fields (e.g. 'Hospital discharge report. Jane Green. 07.10.2025-10.10.2025')","","","","","","","","","",,,,,"",,,,"EHDSDocument.header.documentTitle",1,1,"",""
"EHDSDischargeReport.header.period","EHDSDischargeReport.header.period","","","",0,1,"","","","Period {[]} {[]}
","Time of service that is being documented.","Time of service that is being documented (typically the same as the time/period of the encounter).","","","","","","","","","",,,,,"",,,,"EHDSDocument.header.period",0,1,"",""
"EHDSDischargeReport.header.version","EHDSDischargeReport.header.version","","","",1,1,"","","","string {[]} {[]}
","Version of the document.","Version of the document.","","","","","","","","","",,,,,"",,,,"EHDSDocument.header.version",1,1,"",""
"EHDSDischargeReport.header.attestation","EHDSDischargeReport.header.attestation","","","",0,*,"","","","Base {[]} {[]}
","Document attestation details.","Document attestation details.","","","","","","","","","",,,,,"",,,,"EHDSDocument.header.attestation",0,*,"",""
"EHDSDischargeReport.header.attestation.attester[x]","EHDSDischargeReport.header.attestation.attester[x]","","","",1,1,"","","","http://ehds.eu/fhir/models/StructureDefinition/EHDSHealthProfessional {[]} {[]}
http://ehds.eu/fhir/models/StructureDefinition/EHDSDevice {[]} {[]}","Attester who validated the document.","Attester who validated the document.","","","","","","","","","",,,,,"",,,,"EHDSDocument.header.attestation.attester[x]",1,1,"",""
"EHDSDischargeReport.header.attestation.dateTime","EHDSDischargeReport.header.attestation.dateTime","","","",1,1,"","","","dateTime {[]} {[]}
","Date and time of the approval of the document by the attester.","Date and time of the approval of the document by the attester.","","","","","","","","","",,,,,"",,,,"EHDSDocument.header.attestation.dateTime",1,1,"",""
"EHDSDischargeReport.header.legalAuthentication","EHDSDischargeReport.header.legalAuthentication","","","",0,*,"","","","Base {[]} {[]}
","Document legal authentication details.","Document legal authentication details.","","","","","","","","","",,,,,"",,,,"EHDSDocument.header.legalAuthentication",0,*,"",""
"EHDSDischargeReport.header.legalAuthentication.legalAuthenticator[x]","EHDSDischargeReport.header.legalAuthentication.legalAuthenticator[x]","","","",1,1,"","","","http://ehds.eu/fhir/models/StructureDefinition/EHDSHealthProfessional {[]} {[]}
http://ehds.eu/fhir/models/StructureDefinition/EHDSOrganisation {[]} {[]}","The person or organisation taking responsibility for the content of the document.","The person or organisation taking responsibility for the content of the document.","","","","","","","","","",,,,,"",,,,"EHDSDocument.header.legalAuthentication.legalAuthenticator[x]",1,1,"",""
