"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)","Mapping: RIM Mapping"
"EHDSImmunisation","EHDSImmunisation","","","",0,*,"","","","null {[]} {[]}
","Immunisation model","EHDSImmunisation means a structured set of data elements describing the administration of a vaccine or immunoglobulin, but excluding natural immunity, immunisation outcomes, refusals, and administration planning.","","","","","","","","","",,,,,"",,,,"Base",0,*,"","","n/a"
"EHDSImmunisation.header","EHDSImmunisation.header","","","",1,1,"","","","Base {[]} {[]}
","Basic metadata for this information.","Basic metadata for this information.","","","","","","","","","",,,,,"",,,,"EHDSDataSet.header",1,1,"",""
"EHDSImmunisation.header.subject","EHDSImmunisation.header.subject","","","",1,1,"","","","http://ehds.eu/fhir/models/StructureDefinition/EHDSPatient {[]} {[]}
","Patient/subject information.","Patient/subject information.","","","","","","","","","",,,,,"",,,,"EHDSDataSet.header.subject",1,1,"",""
"EHDSImmunisation.header.identifier","EHDSImmunisation.header.identifier","","","",0,*,"","","","Identifier {[]} {[]}
","Business identifier assigned to the resource or document (not a patient ID and not the technical resource ID).","Business identifier assigned to the resource or document (not a patient ID and not the technical resource ID).","Business identifier is unique within the system that assigns them. The same entity may have different unique identifiers assigned by different systems. Therefore, the identifier is always expected to be a pair of a system and a value.","","","","","","","","",,,,,"",,,,"EHDSDataSet.header.identifier",0,*,"",""
"EHDSImmunisation.header.author[x]","EHDSImmunisation.header.author[x]","","","",0,*,"","","","http://ehds.eu/fhir/models/StructureDefinition/EHDSHealthProfessional {[]} {[]}
http://ehds.eu/fhir/models/StructureDefinition/EHDSOrganisation {[]} {[]}http://ehds.eu/fhir/models/StructureDefinition/EHDSDevice {[]} {[]}http://ehds.eu/fhir/models/StructureDefinition/EHDSPatient {[]} {[]}http://ehds.eu/fhir/models/StructureDefinition/EHDSRelatedPerson {[]} {[]}","Author of the resource.","The author of the immunisation statement.","Author(s) responsible for the provided information. The exact role of the responsible author varies across use cases and is specific to individual models.","","","","","","","","",,,,,"",,,,"EHDSDataSet.header.author[x]",0,*,"",""
"EHDSImmunisation.header.patientInsertedData","EHDSImmunisation.header.patientInsertedData","","","",0,1,"","","","boolean {[]} {[]}
","Indicator that states, when included with value ‘true’, that the contents of this resource represent information inserted by the natural person or their representative. In this case, the contents shall not be considered as verified by a health professional or a healthcare provider, even if digitally signed by them as part of a bigger data set. Details of the person who inserted the information may be provided in the author[x] element.","Indicator that states, when included with value ‘true’, that the contents of this resource represent information inserted by the natural person or their representative. In this case, the contents shall not be considered as verified by a health professional or a healthcare provider, even if digitally signed by them as part of a bigger data set. Details of the person who inserted the information may be provided in the author[x] element.","","","","","","","","","",,,,,"",,,,"EHDSDataSet.header.patientInsertedData",0,1,"",""
"EHDSImmunisation.header.date","EHDSImmunisation.header.date","","","",0,1,"","","","dateTime {[]} {[]}
","Date and optionally time of authoring/issuing.","Date and optionally time of authoring/issuing.","","","","","","","","","",,,,,"",,,,"EHDSDataSet.header.date",0,1,"",""
"EHDSImmunisation.header.status","EHDSImmunisation.header.status","","","",1,1,"","","","CodeableConcept {[]} {[]}
","Status of the immunisation event (completed, not-done).","Status of the immunisation event (completed, not-done).","","","","","","","","","",,"required","HL7 Immunization Status Codes","","",,,,"EHDSDataSet.header.status",1,1,"",""
"EHDSImmunisation.header.language","EHDSImmunisation.header.language","","","",0,1,"","","","CodeableConcept {[]} {[]}
","Language in which the resource is written. Language is expressed by the IETF language tag.","Language in which the resource is written. Language is expressed by the IETF language tag.","","","","","","","","","",,"required","BCP 47","","",,,,"EHDSDataSet.header.language",0,1,"",""
"EHDSImmunisation.diseaseOrAgentTargeted","EHDSImmunisation.diseaseOrAgentTargeted","","","",0,*,"","","","CodeableConcept {[]} {[]}
","Disease or agent that the vaccination provides protection against.","Disease or agent that the vaccination provides protection against (e.g. 76902006 Tetanus).","","","","","","","","","",,"required","SNOMED CT (preferred), ICD-10","","",,,,"EHDSImmunisation.diseaseOrAgentTargeted",0,*,"",""
"EHDSImmunisation.vaccine","EHDSImmunisation.vaccine","","","",1,1,"","","","CodeableConcept {[]} {[]}
","Type of immunisation.","Type of immunisation, e.g. J07AM01 Tetanus toxoid; or 871803007 Hepatitis A and Hepatitis B virus antigens only vaccine product.","","","","","","","","","",,"required","ATC (preferred), SNOMED CT","","",,,,"EHDSImmunisation.vaccine",1,1,"",""
"EHDSImmunisation.administeredProduct","EHDSImmunisation.administeredProduct","","","",0,1,"","","","http://ehds.eu/fhir/models/StructureDefinition/EHDSMedication {[]} {[]}
","Administered medicinal product, including batch/lot details when necessary.","Administered medicinal product (e.g. TETAVAX suspension for injection), including batch/lot details when necessary.","","","","","","","","","",,,,,"",,,,"EHDSImmunisation.administeredProduct",0,1,"",""
"EHDSImmunisation.administrationTime","EHDSImmunisation.administrationTime","","","",1,1,"","","","dateTime {[]} {[]}
","The date and optionally the exact time when the vaccination was administered.","The date and optionally the exact time when the vaccination was administered.","","","","","","","","","",,,,,"",,,,"EHDSImmunisation.administrationTime",1,1,"",""
"EHDSImmunisation.administeringCentre","EHDSImmunisation.administeringCentre","","","",0,1,"","","","http://ehds.eu/fhir/models/StructureDefinition/EHDSOrganisation {[]} {[]}
","Administering centre or a health authority responsible for the vaccination event","Administering centre or a health authority responsible for the vaccination event","","","","","","","","","",,,,,"",,,,"EHDSImmunisation.administeringCentre",0,1,"",""
"EHDSImmunisation.administrator","EHDSImmunisation.administrator","","","",0,1,"","","","http://ehds.eu/fhir/models/StructureDefinition/EHDSHealthProfessional {[]} {[]}
","Health professional responsible for administering the immunisation product.","Health professional responsible for administering the immunisation product.","","","","","","","","","",,,,,"",,,,"EHDSImmunisation.administrator",0,1,"",""
"EHDSImmunisation.note","EHDSImmunisation.note","","","",0,1,"","","","string {[]} {[]}
","Free text notes by the health professional.","Free text notes by the health professional.","","","","","","","","","",,,,,"",,,,"EHDSImmunisation.note",0,1,"",""
