"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)","Mapping: RIM Mapping"
"EHDSObservation","EHDSObservation","","","",0,*,"","","","null {[]} {[]}
","Observation model","EHDSObservation means a structured set of data elements describing a clinical finding or measurement and its results. This includes simple observational findings (e.g., alcohol and tobacco use, blood pressure measurements) and complex medical test results (e.g., cardiopulmonary stress test, Holter monitor), supporting the grouping of related observations and the representation of multi-part results observed under shared or different conditions.","","","","","","","","","",,,,,"",,,,"Base",0,*,"","","n/a"
"EHDSObservation.header","EHDSObservation.header","","","",1,1,"","","","Base {[]} {[]}
","Basic metadata for this information.","Basic metadata for this information.","","","","","","","","","",,,,,"",,,,"EHDSDataSet.header",1,1,"",""
"EHDSObservation.header.subject","EHDSObservation.header.subject","","","",1,1,"","","","http://ehds.eu/fhir/models/StructureDefinition/EHDSPatient {[]} {[]}
","Patient/subject information.","Patient who is receiving health care. This patient might be different from the direct subject of the observation.","","","","","","","","","",,,,,"",,,,"EHDSDataSet.header.subject",1,1,"",""
"EHDSObservation.header.identifier","EHDSObservation.header.identifier","","","",0,*,"","","","Identifier {[]} {[]}
","Business identifier assigned to the resource or document (not a patient ID and not the technical resource ID).","Business identifier assigned to the resource or document (not a patient ID and not the technical resource ID).","Business identifier is unique within the system that assigns them. The same entity may have different unique identifiers assigned by different systems. Therefore, the identifier is always expected to be a pair of a system and a value.","","","","","","","","",,,,,"",,,,"EHDSDataSet.header.identifier",0,*,"",""
"EHDSObservation.header.author[x]","EHDSObservation.header.author[x]","","","",0,*,"","","","http://ehds.eu/fhir/models/StructureDefinition/EHDSHealthProfessional {[]} {[]}
http://ehds.eu/fhir/models/StructureDefinition/EHDSOrganisation {[]} {[]}http://ehds.eu/fhir/models/StructureDefinition/EHDSDevice {[]} {[]}http://ehds.eu/fhir/models/StructureDefinition/EHDSPatient {[]} {[]}http://ehds.eu/fhir/models/StructureDefinition/EHDSRelatedPerson {[]} {[]}","Author of the resource.","The author of this observation.","Author(s) responsible for the provided information. The exact role of the responsible author varies across use cases and is specific to individual models.","","","","","","","","",,,,,"",,,,"EHDSDataSet.header.author[x]",0,*,"",""
"EHDSObservation.header.patientInsertedData","EHDSObservation.header.patientInsertedData","","","",0,1,"","","","boolean {[]} {[]}
","Indicator that states, when included with value ‘true’, that the contents of this resource represent information inserted by the natural person or their representative. In this case, the contents shall not be considered as verified by a health professional or a healthcare provider, even if digitally signed by them as part of a bigger data set. Details of the person who inserted the information may be provided in the author[x] element.","Indicator that states, when included with value ‘true’, that the contents of this resource represent information inserted by the natural person or their representative. In this case, the contents shall not be considered as verified by a health professional or a healthcare provider, even if digitally signed by them as part of a bigger data set. Details of the person who inserted the information may be provided in the author[x] element.","","","","","","","","","",,,,,"",,,,"EHDSDataSet.header.patientInsertedData",0,1,"",""
"EHDSObservation.header.date","EHDSObservation.header.date","","","",0,1,"","","","dateTime {[]} {[]}
","Date and optionally time of authoring/issuing.","Date and optionally time of authoring/issuing.","","","","","","","","","",,,,,"",,,,"EHDSDataSet.header.date",0,1,"",""
"EHDSObservation.header.status","EHDSObservation.header.status","","","",1,1,"","","","CodeableConcept {[]} {[]}
","Status of the resource.","Status of the resource.","","","","","","","","","",,"required","HL7 Observation Status","","",,,,"EHDSDataSet.header.status",1,1,"",""
"EHDSObservation.header.language","EHDSObservation.header.language","","","",0,1,"","","","CodeableConcept {[]} {[]}
","Language in which the resource is written. Language is expressed by the IETF language tag.","Language in which the resource is written. Language is expressed by the IETF language tag.","","","","","","","","","",,"required","BCP 47","","",,,,"EHDSDataSet.header.language",0,1,"",""
"EHDSObservation.header.directSubject[x]","EHDSObservation.header.directSubject[x]","","","",0,1,"","","","http://ehds.eu/fhir/models/StructureDefinition/EHDSPatient {[]} {[]}
http://ehds.eu/fhir/models/StructureDefinition/EHDSLocation {[]} {[]}http://ehds.eu/fhir/models/StructureDefinition/EHDSDevice {[]} {[]}string {[]} {[]}","The direct subject of the observation if different from the patient (subject of care), e.g. an observation of an implanted device. Additional types of subject may be allowed in implementations.","The direct subject of the observation if different from the patient (subject of care), e.g. an observation of an implanted device. Additional types of subject may be allowed in implementations.","","","","","","","","","",,,,,"",,,,"EHDSObservation.header.directSubject[x]",0,1,"",""
"EHDSObservation.observationDate[x]","EHDSObservation.observationDate[x]","","","",1,1,"","","","dateTime {[]} {[]}
Period {[]} {[]}","Clinically relevant time or time period for the observation.","Clinically relevant time or time period for the observation.","","","","","","","","","",,,,,"",,,,"EHDSObservation.observationDate[x]",1,1,"",""
"EHDSObservation.type","EHDSObservation.type","","","",1,1,"","","","CodeableConcept {[]} {[]}
","Observation type that indicates what was observed.","Observation type that indicates what was observed.","","","","","","","","","",,"required","SNOMED CT (preferred), LOINC, NPU","","",,,,"EHDSObservation.type",1,1,"",""
"EHDSObservation.originalName","EHDSObservation.originalName","","","",0,1,"","","","string {[]} {[]}
","Original (conventional) name of the observation as used in the local laboratory or clinical system.","Original (conventional) name of the observation as used in the local laboratory or clinical system.","","","","","","","","","",,,,,"",,,,"EHDSObservation.originalName",0,1,"",""
"EHDSObservation.method","EHDSObservation.method","","","",0,1,"","","","CodeableConcept {[]} {[]}
","Observation method","Observation method (measurement principle) to obtain the result.","","","","","","","","","",,"required","SNOMED CT","","",,,,"EHDSObservation.method",0,1,"",""
"EHDSObservation.specimen","EHDSObservation.specimen","","","",0,1,"","","","http://ehds.eu/fhir/models/StructureDefinition/EHDSSpecimen {[]} {[]}
","Specimen used for this observation.","Specimen used for this observation.","","","","","","","","","",,,,,"",,,,"EHDSObservation.specimen",0,1,"",""
"EHDSObservation.order","EHDSObservation.order","","","",0,1,"","","","http://ehds.eu/fhir/models/StructureDefinition/EHDSServiceRequest {[]} {[]}
","Identifies order and order placer this observation belongs to.","Identifies order and order placer this observation belongs to.","","","","","","","","","",,,,,"",,,,"EHDSObservation.order",0,1,"",""
"EHDSObservation.performer[x]","EHDSObservation.performer[x]","","","",0,*,"","","","http://ehds.eu/fhir/models/StructureDefinition/EHDSOrganisation {[]} {[]}
http://ehds.eu/fhir/models/StructureDefinition/EHDSHealthProfessional {[]} {[]}http://ehds.eu/fhir/models/StructureDefinition/EHDSPatient {[]} {[]}http://ehds.eu/fhir/models/StructureDefinition/EHDSRelatedPerson {[]} {[]}","Performer of the observation.","Performer of the observation.","","","","","","","","","",,,,,"",,,,"EHDSObservation.performer[x]",0,*,"",""
"EHDSObservation.bodySite","EHDSObservation.bodySite","","","",0,1,"","","","http://ehds.eu/fhir/models/StructureDefinition/EHDSBodyStructure {[]} {[]}
","Anatomic location and laterality where the observation was performed.","Anatomic location and laterality where the observation was performed.","","","","","","","","","",,,,,"",,,,"EHDSObservation.bodySite",0,1,"",""
"EHDSObservation.result","EHDSObservation.result","","","",1,1,"","","","Base {[]} {[]}
","Result of the observation including text, numeric, coded, and other types of results of the measurement and measurement uncertainty. Content of the observation result will vary according to the type of the observation.","Result of the observation including text, numeric, coded, and other types of results of the measurement and measurement uncertainty. Content of the observation result will vary according to the type of the observation.","","","","","","","","","",,,,,"",,,,"EHDSObservation.result",1,1,"",""
"EHDSObservation.result.value[x]","EHDSObservation.result.value[x]","","","",0,1,"","","","string {[]} {[]}
Quantity {[]} {[]}Range {[]} {[]}Ratio {[]} {[]}CodeableConcept {[]} {[]}","Observation result value according to the type of observation.","Observation result value according to the type of observation.","","","","","","","","","",,"required","UCUM for units, SNOMED CT for coded results","","",,,,"EHDSObservation.result.value[x]",0,1,"",""
"EHDSObservation.result.certainty","EHDSObservation.result.certainty","","","",0,1,"","","","Base {[]} {[]}
","Measurement certainty information type and interval if needed about the observation result.","Measurement certainty information type and interval if needed about the observation result.","","","","","","","","","",,,,,"",,,,"EHDSObservation.result.certainty",0,1,"",""
"EHDSObservation.result.certainty.value","EHDSObservation.result.certainty.value","","","",1,1,"","","","decimal {[]} {[]}
","The numerical value of the measurement certainty.","The numerical value of the measurement certainty.","","","","","","","","","",,,,,"",,,,"EHDSObservation.result.certainty.value",1,1,"",""
"EHDSObservation.result.certainty.type","EHDSObservation.result.certainty.type","","","",0,1,"","","","CodeableConcept {[]} {[]}
","Probability Distribution Type for certainty.","Probability Distribution Type for certainty.","","","","","","","","","",,"required","HL7 Probability Distribution Type","","",,,,"EHDSObservation.result.certainty.type",0,1,"",""
"EHDSObservation.result.dataAbsentReason","EHDSObservation.result.dataAbsentReason","","","",0,1,"","","","CodeableConcept {[]} {[]}
","Provides a reason why the expected value in the element Observation.result.value[x] is missing.","Provides a reason why the expected value in the element Observation.result.value[x] is missing.","","","","","","","","","",,"required","HL7 Data absent reason","","",,,,"EHDSObservation.result.dataAbsentReason",0,1,"",""
"EHDSObservation.referenceRange","EHDSObservation.referenceRange","","","",0,*,"","","","Base {[]} {[]}
","Reference range, multiple reference ranges of different types could be provided. Provides guide for interpretation of the result.","Reference range, multiple reference ranges of different types could be provided. Provides guide for interpretation of the result.","","","","","","","","","",,,,,"",,,,"EHDSObservation.referenceRange",0,*,"",""
"EHDSObservation.referenceRange.low","EHDSObservation.referenceRange.low","","","",0,1,"","","","Quantity {[]} {[]}
","Low limit of the reference range.","Low limit of the reference range.","","","","","","","","","",,"required","UCUM","","",,,,"EHDSObservation.referenceRange.low",0,1,"",""
"EHDSObservation.referenceRange.high","EHDSObservation.referenceRange.high","","","",0,1,"","","","Quantity {[]} {[]}
","High limit of the reference range.","High limit of the reference range.","","","","","","","","","",,"required","UCUM","","",,,,"EHDSObservation.referenceRange.high",0,1,"",""
"EHDSObservation.referenceRange.normalValue","EHDSObservation.referenceRange.normalValue","","","",0,1,"","","","CodeableConcept {[]} {[]}
","Normal value, if relevant for the reference range.","Normal value, if relevant for the reference range.","","","","","","","","","",,"required","SNOMED CT","","",,,,"EHDSObservation.referenceRange.normalValue",0,1,"",""
"EHDSObservation.referenceRange.type","EHDSObservation.referenceRange.type","","","",0,1,"","","","CodeableConcept {[]} {[]}
","Type of reference range.","Type of reference range.","","","","","","","","","",,"required","HL7 Observation Reference Range Meaning Codes","","",,,,"EHDSObservation.referenceRange.type",0,1,"",""
"EHDSObservation.referenceRange.appliesTo","EHDSObservation.referenceRange.appliesTo","","","",0,*,"","","","CodeableConcept {[]} {[]}
","Codes to indicate the target population this reference range applies to.","Codes to indicate the target population this reference range applies to.","","","","","","","","","",,"required","SNOMED CT","","",,,,"EHDSObservation.referenceRange.appliesTo",0,*,"",""
