"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)","Mapping: RIM Mapping"
"EHDSProcedure","EHDSProcedure","","","",0,*,"","","","null {[]} {[]}
","Procedure model","EHDSProcedure means a structured set of data elements describing a procedure performed on or for a patient, including surgical, therapeutic, and diagnostic procedures and specimen collection, but excluding procedures in the planning stage.","","","","","","","","","",,,,,"",,,,"Base",0,*,"","","n/a"
"EHDSProcedure.header","EHDSProcedure.header","","","",1,1,"","","","Base {[]} {[]}
","Basic metadata for this information.","Basic metadata for this information.","","","","","","","","","",,,,,"",,,,"EHDSDataSet.header",1,1,"",""
"EHDSProcedure.header.subject","EHDSProcedure.header.subject","","","",1,1,"","","","http://ehds.eu/fhir/models/StructureDefinition/EHDSPatient {[]} {[]}
","Patient/subject information.","Patient/subject information.","","","","","","","","","",,,,,"",,,,"EHDSDataSet.header.subject",1,1,"",""
"EHDSProcedure.header.identifier","EHDSProcedure.header.identifier","","","",0,*,"","","","Identifier {[]} {[]}
","Business identifier assigned to the resource or document (not a patient ID and not the technical resource ID).","Business identifier assigned to the resource or document (not a patient ID and not the technical resource ID).","Business identifier is unique within the system that assigns them. The same entity may have different unique identifiers assigned by different systems. Therefore, the identifier is always expected to be a pair of a system and a value.","","","","","","","","",,,,,"",,,,"EHDSDataSet.header.identifier",0,*,"",""
"EHDSProcedure.header.author[x]","EHDSProcedure.header.author[x]","","","",0,*,"","","","http://ehds.eu/fhir/models/StructureDefinition/EHDSHealthProfessional {[]} {[]}
http://ehds.eu/fhir/models/StructureDefinition/EHDSOrganisation {[]} {[]}http://ehds.eu/fhir/models/StructureDefinition/EHDSDevice {[]} {[]}http://ehds.eu/fhir/models/StructureDefinition/EHDSPatient {[]} {[]}http://ehds.eu/fhir/models/StructureDefinition/EHDSRelatedPerson {[]} {[]}","Author of the resource.","The author of this observation.","Author(s) responsible for the provided information. The exact role of the responsible author varies across use cases and is specific to individual models.","","","","","","","","",,,,,"",,,,"EHDSDataSet.header.author[x]",0,*,"",""
"EHDSProcedure.header.patientInsertedData","EHDSProcedure.header.patientInsertedData","","","",0,1,"","","","boolean {[]} {[]}
","Indicator that states, when included with value ‘true’, that the contents of this resource represent information inserted by the natural person or their representative. In this case, the contents shall not be considered as verified by a health professional or a healthcare provider, even if digitally signed by them as part of a bigger data set. Details of the person who inserted the information may be provided in the author[x] element.","Indicator that states, when included with value ‘true’, that the contents of this resource represent information inserted by the natural person or their representative. In this case, the contents shall not be considered as verified by a health professional or a healthcare provider, even if digitally signed by them as part of a bigger data set. Details of the person who inserted the information may be provided in the author[x] element.","","","","","","","","","",,,,,"",,,,"EHDSDataSet.header.patientInsertedData",0,1,"",""
"EHDSProcedure.header.date","EHDSProcedure.header.date","","","",0,1,"","","","dateTime {[]} {[]}
","Date and optionally time of authoring/issuing.","Date and optionally time of authoring/issuing.","","","","","","","","","",,,,,"",,,,"EHDSDataSet.header.date",0,1,"",""
"EHDSProcedure.header.status","EHDSProcedure.header.status","","","",1,1,"","","","CodeableConcept {[]} {[]}
","Status of the procedure (e.g. completed, on hold, stopped).","Status of the procedure (e.g. completed, on hold, stopped).","","","","","","","","","",,"required","HL7 Event Status","","",,,,"EHDSDataSet.header.status",1,1,"",""
"EHDSProcedure.header.language","EHDSProcedure.header.language","","","",0,1,"","","","CodeableConcept {[]} {[]}
","Language in which the resource is written. Language is expressed by the IETF language tag.","Language in which the resource is written. Language is expressed by the IETF language tag.","","","","","","","","","",,"required","BCP 47","","",,,,"EHDSDataSet.header.language",0,1,"",""
"EHDSProcedure.code","EHDSProcedure.code","","","",1,1,"","","","CodeableConcept {[]} {[]}
","Concept code and display name identifying the type of procedure.","Concept code and display name identifying the type of procedure.","","","","","","","","","",,"required","SNOMED CT","","",,,,"EHDSProcedure.code",1,1,"",""
"EHDSProcedure.procedureDate[x]","EHDSProcedure.procedureDate[x]","","","",0,1,"","","","dateTime {[]} {[]}
Period {[]} {[]}","Date and time of the procedure or interval of its performance.","Date and time of the procedure or interval of its performance.","","","","","","","","","",,,,,"",,,,"EHDSProcedure.procedureDate[x]",0,1,"",""
"EHDSProcedure.performer","EHDSProcedure.performer","","","",0,*,"","","","http://ehds.eu/fhir/models/StructureDefinition/EHDSHealthProfessional {[]} {[]}
","Actors who performed the procedure (only main responsible actors expected).","Actors who performed the procedure (only main responsible actors expected).","","","","","","","","","",,,,,"",,,,"EHDSProcedure.performer",0,*,"",""
"EHDSProcedure.bodySite","EHDSProcedure.bodySite","","","",0,*,"","","","http://ehds.eu/fhir/models/StructureDefinition/EHDSBodyStructure {[]} {[]}
","Target body site of the procedure.","Target body site of the procedure.","","","","","","","","","",,,,,"",,,,"EHDSProcedure.bodySite",0,*,"",""
"EHDSProcedure.reason[x]","EHDSProcedure.reason[x]","","","",0,*,"","","","CodeableConcept {[]} {[]}
http://ehds.eu/fhir/models/StructureDefinition/EHDSCondition {[]} {[]}http://ehds.eu/fhir/models/StructureDefinition/EHDSObservation {[]} {[]}http://ehds.eu/fhir/models/StructureDefinition/EHDSProcedure {[]} {[]}","The reason the procedure was performed. This may be a concept from a terminology or a reference to a specific instance that describes the reason.","The reason the procedure was performed. This may be a concept from a terminology or a reference to a specific instance that describes the reason.","","","","","","","","","",,"required","SNOMED CT (preferred), ICD-10, Orphacode","","",,,,"EHDSProcedure.reason[x]",0,*,"",""
"EHDSProcedure.outcome","EHDSProcedure.outcome","","","",0,1,"","","","CodeableConcept {[]} {[]}
","The immediate result of the procedure (e.g. successful, unsuccessful). This does not include assessment over a longer period of time.","The immediate result of the procedure (e.g. successful, unsuccessful). This does not include assessment over a longer period of time.","","","","","","","","","",,"required","SNOMED CT","","",,,,"EHDSProcedure.outcome",0,1,"",""
"EHDSProcedure.complication","EHDSProcedure.complication","","","",0,*,"","","","CodeableConcept {[]} {[]}
","Complication that occurred during the procedure, or in the immediate post-procedure period.","Complication that occurred during the procedure, or in the immediate post-procedure period.","","","","","","","","","",,"required","SNOMED CT (preferred), ICD-10","","",,,,"EHDSProcedure.complication",0,*,"",""
"EHDSProcedure.deviceUsed","EHDSProcedure.deviceUsed","","","",0,*,"","","","http://ehds.eu/fhir/models/StructureDefinition/EHDSDevice {[]} {[]}
","Device used to perform the procedure.","Device used to perform the procedure.","","","","","","","","","",,,,,"",,,,"EHDSProcedure.deviceUsed",0,*,"",""
"EHDSProcedure.focalDevice","EHDSProcedure.focalDevice","","","",0,*,"","","","http://ehds.eu/fhir/models/StructureDefinition/EHDSDevice {[]} {[]}
","Device that is implanted, removed, or otherwise manipulated (calibration, battery replacement, fitting a prosthesis, attaching a wound-vac, etc.) as a focal portion of the Procedure.","Device that is implanted, removed, or otherwise manipulated (calibration, battery replacement, fitting a prosthesis, attaching a wound-vac, etc.) as a focal portion of the Procedure.","","","","","","","","","",,,,,"",,,,"EHDSProcedure.focalDevice",0,*,"",""
"EHDSProcedure.note","EHDSProcedure.note","","","",0,1,"","","","string {[]} {[]}
","Free text notes by the health professional.","Free text notes by the health professional.","","","","","","","","","",,,,,"",,,,"EHDSProcedure.note",0,1,"",""
