Source File	Size	loadResources	load	generateSnapshots	load-configure	scan	loadDepInfo	loadInfo	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	translate	generate1	generate2	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
/fsh-generated/resources/ImplementationGuide-eu.ehds.models.json	23578	-	0	0	0	0	0	0	9	65	0	0	0	0	0	0	0	1	0	0	0	150	217	0	0	0	3	0	1
fsh-generated/resources/ActorDefinition-actor-basic.json	184	3	0	0	1	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	9	13	0	0	0	0	0	0
fsh-generated/resources/ActorDefinition-actor-full.json	181	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	8	8	0	0	0	0	0	0
fsh-generated/resources/StructureDefinition-EHDSAddress.json	11704	7	0	9	0	0	1	0	0	140	0	0	1	0	0	0	0	0	0	0	0	89	784	0	0	0	2	0	1
fsh-generated/resources/StructureDefinition-EHDSAdministeredDosage.json	1837	1	0	19	0	0	0	0	0	18	1	0	0	0	0	0	0	0	0	0	0	187	179	0	0	0	1	0	1
fsh-generated/resources/StructureDefinition-EHDSAdvanceDirective.json	9740	3	0	12	1	0	0	0	0	22	0	0	0	0	0	0	0	1	0	0	0	93	208	0	0	0	2	0	2
fsh-generated/resources/StructureDefinition-EHDSAlert.json	11143	4	0	7	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	127	171	0	0	0	3	0	1
fsh-generated/resources/StructureDefinition-EHDSAllergyIntolerance.json	18488	5	0	9	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	254	202	0	0	0	3	0	1
fsh-generated/resources/StructureDefinition-EHDSAttachment.json	8446	2	0	4	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	192	111	0	0	0	1	0	1
fsh-generated/resources/StructureDefinition-EHDSBodyStructure.json	7533	2	0	4	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	49	100	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-EHDSCarePlan.json	14981	3	0	9	0	0	0	0	0	23	0	0	0	0	0	0	0	1	0	0	0	203	171	0	0	0	2	1	1
fsh-generated/resources/StructureDefinition-EHDSCondition.json	20289	6	0	9	0	0	0	0	0	21	0	0	0	0	0	0	0	0	0	0	0	121	211	0	0	0	3	0	0
