"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)","Mapping: RIM Mapping"
"EHDSCondition","EHDSCondition","","","",0,*,"","","","null {[]} {[]}
","Condition model","EHDSCondition means a structured set of data elements describing a clinical condition, problem, or diagnosis.","","","","","","","","","",,,,,"",,,,"Base",0,*,"","","n/a"
"EHDSCondition.header","EHDSCondition.header","","","",1,1,"","","","Base {[]} {[]}
","Basic metadata for this information.","Basic metadata for this information.","","","","","","","","","",,,,,"",,,,"EHDSDataSet.header",1,1,"",""
"EHDSCondition.header.subject","EHDSCondition.header.subject","","","",1,1,"","","","http://ehds.eu/fhir/models/StructureDefinition/EHDSPatient {[]} {[]}
","Patient/subject information.","Patient/subject information.","","","","","","","","","",,,,,"",,,,"EHDSDataSet.header.subject",1,1,"",""
"EHDSCondition.header.identifier","EHDSCondition.header.identifier","","","",0,*,"","","","Identifier {[]} {[]}
","Business identifier assigned to the resource or document (not a patient ID and not the technical resource ID).","Business identifier assigned to the resource or document (not a patient ID and not the technical resource ID).","Business identifier is unique within the system that assigns them. The same entity may have different unique identifiers assigned by different systems. Therefore, the identifier is always expected to be a pair of a system and a value.","","","","","","","","",,,,,"",,,,"EHDSDataSet.header.identifier",0,*,"",""
"EHDSCondition.header.author[x]","EHDSCondition.header.author[x]","","","",0,*,"","","","http://ehds.eu/fhir/models/StructureDefinition/EHDSHealthProfessional {[]} {[]}
http://ehds.eu/fhir/models/StructureDefinition/EHDSOrganisation {[]} {[]}http://ehds.eu/fhir/models/StructureDefinition/EHDSDevice {[]} {[]}http://ehds.eu/fhir/models/StructureDefinition/EHDSPatient {[]} {[]}http://ehds.eu/fhir/models/StructureDefinition/EHDSRelatedPerson {[]} {[]}","Author of the resource.","The author of the condition information.","Author(s) responsible for the provided information. The exact role of the responsible author varies across use cases and is specific to individual models.","","","","","","","","",,,,,"",,,,"EHDSDataSet.header.author[x]",0,*,"",""
"EHDSCondition.header.patientInsertedData","EHDSCondition.header.patientInsertedData","","","",0,1,"","","","boolean {[]} {[]}
","Indicator that states, when included with value ‘true’, that the contents of this resource represent information inserted by the natural person or their representative. In this case, the contents shall not be considered as verified by a health professional or a healthcare provider, even if digitally signed by them as part of a bigger data set. Details of the person who inserted the information may be provided in the author[x] element.","Indicator that states, when included with value ‘true’, that the contents of this resource represent information inserted by the natural person or their representative. In this case, the contents shall not be considered as verified by a health professional or a healthcare provider, even if digitally signed by them as part of a bigger data set. Details of the person who inserted the information may be provided in the author[x] element.","","","","","","","","","",,,,,"",,,,"EHDSDataSet.header.patientInsertedData",0,1,"",""
"EHDSCondition.header.date","EHDSCondition.header.date","","","",0,1,"","","","dateTime {[]} {[]}
","Date and optionally time of authoring/issuing.","Date and optionally time of authoring/issuing.","","","","","","","","","",,,,,"",,,,"EHDSDataSet.header.date",0,1,"",""
"EHDSCondition.header.status","EHDSCondition.header.status","","","",1,1,"","","","CodeableConcept {[]} {[]}
","Status of the condition/problem (e.g. active, resolved, inactive, etc).","Status of the condition/problem (e.g. active, resolved, inactive, etc).","","","","","","","","","",,"required","HL7 Condition Clinical Status Codes","","",,,,"EHDSDataSet.header.status",1,1,"",""
"EHDSCondition.header.language","EHDSCondition.header.language","","","",0,1,"","","","CodeableConcept {[]} {[]}
","Language in which the resource is written. Language is expressed by the IETF language tag.","Language in which the resource is written. Language is expressed by the IETF language tag.","","","","","","","","","",,"required","BCP 47","","",,,,"EHDSDataSet.header.language",0,1,"",""
"EHDSCondition.code","EHDSCondition.code","","","",1,1,"","","","CodeableConcept {[]} {[]}
","Code identifying the condition, problem or diagnosis.","Code identifying the condition, problem or diagnosis.","","","","","","","","","",,"required","SNOMED CT (preferred), ICD-10, ICD-O, Orphacode","","",,,,"EHDSCondition.code",1,1,"",""
"EHDSCondition.onsetDate","EHDSCondition.onsetDate","","","",0,1,"","","","dateTime {[]} {[]}
","Estimated or actual date the problem/condition began.","Estimated or actual date the problem/condition began.","","","","","","","","","",,,,,"",,,,"EHDSCondition.onsetDate",0,1,"",""
"EHDSCondition.endDate","EHDSCondition.endDate","","","",0,1,"","","","dateTime {[]} {[]}
","The date or estimated date that the condition resolved or went into remission.","The date or estimated date that the condition resolved or went into remission.","","","","","","","","","",,,,,"",,,,"EHDSCondition.endDate",0,1,"",""
"EHDSCondition.category","EHDSCondition.category","","","",0,*,"","","","CodeableConcept {[]} {[]}
","Category of the problem (e.g. POA - present on admission, HAC - hospital acquired condition, and other categorisations).","Category of the problem (e.g. POA - present on admission, HAC - hospital acquired condition, and other categorisations).","","","","","","","","","",,"required","SNOMED CT","","",,,,"EHDSCondition.category",0,*,"",""
"EHDSCondition.resolutionCircumstances","EHDSCondition.resolutionCircumstances","","","",0,1,"","","","string {[]} {[]}
","Describes the reason for which the status of the problem changed from current to inactive (e.g. surgical procedure, medical treatment, etc.).","Describes the reason for which the status of the problem changed from current to inactive (e.g. surgical procedure, medical treatment, etc.).","","","","","","","","","",,,,,"",,,,"EHDSCondition.resolutionCircumstances",0,1,"",""
"EHDSCondition.severity","EHDSCondition.severity","","","",0,1,"","","","CodeableConcept {[]} {[]}
","A subjective assessment of the severity of the condition.","A subjective assessment of the severity of the condition.","","","","","","","","","",,"required","SNOMED CT","","",,,,"EHDSCondition.severity",0,1,"",""
"EHDSCondition.bodySite","EHDSCondition.bodySite","","","",0,*,"","","","http://ehds.eu/fhir/models/StructureDefinition/EHDSBodyStructure {[]} {[]}
","The anatomical location including laterality where this condition manifests itself.","The anatomical location including laterality where this condition manifests itself.","","","","","","","","","",,,,,"",,,,"EHDSCondition.bodySite",0,*,"",""
"EHDSCondition.stage","EHDSCondition.stage","","","",0,*,"","","","CodeableConcept {[]} {[]}
","Stage/grade usually assessed formally using a specific staging/grading system. Multiple assessment systems could be used.","Stage/grade usually assessed formally using a specific staging/grading system. Multiple assessment systems could be used.","","","","","","","","","",,"required","Not defined","","",,,,"EHDSCondition.stage",0,*,"",""
"EHDSCondition.diagnosisAssertionStatus","EHDSCondition.diagnosisAssertionStatus","","","",0,1,"","","","CodeableConcept {[]} {[]}
","Assertion about the certainty associated with a diagnosis. Diagnostic and/or clinical evidence of condition.","Assertion about the certainty associated with a diagnosis. Diagnostic and/or clinical evidence of condition.","","","","","","","","","",,"required","HL7 Condition Verification Status","","",,,,"EHDSCondition.diagnosisAssertionStatus",0,1,"",""
"EHDSCondition.specialistContact","EHDSCondition.specialistContact","","","",0,*,"","","","http://ehds.eu/fhir/models/StructureDefinition/EHDSHealthProfessional {[]} {[]}
","Health Professional who may be specifically related to the problem, as a preferred contact.","Health Professional who may be specifically related to the problem, as a preferred contact.","","","","","","","","","",,,,,"",,,,"EHDSCondition.specialistContact",0,*,"",""
"EHDSCondition.externalResource","EHDSCondition.externalResource","","","",0,*,"","","","uri {[]} {[]}
","External resource which may be specifically related to the problem, for example a link to a guideline on a specific rare disease problem.","External resource which may be specifically related to the problem, for example a link to a guideline on a specific rare disease problem.","","","","","","","","","",,,,,"",,,,"EHDSCondition.externalResource",0,*,"",""
"EHDSCondition.note","EHDSCondition.note","","","",0,1,"","","","string {[]} {[]}
","Free text note by the health professional.","Free text note by the health professional.","","","","","","","","","",,,,,"",,,,"EHDSCondition.note",0,1,"",""
