"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)","Mapping: RIM Mapping"
"EHDSImagingReport","EHDSImagingReport","","","",0,*,"","","","null {[]} {[]}
","Imaging report model","Imaging report reflects the observations and interpretations of one or more imaging studies, contains elements such as the reason why the study is requested, relevant contextual medical information, the modality used to acquire images and its settings, procedures and body localisations that were used, a description of the observations and findings, exposure information, conclusion and advice.","","","","","","","","","",,,,,"",,,,"Base",0,*,"","","n/a"
"EHDSImagingReport.header","EHDSImagingReport.header","","","",1,1,"","","","Base {[]} {[]}
","Imaging report header.","Basic metadata for this information.","","","","","","","","","",,,,,"",,,,"EHDSDataSet.header",1,1,"",""
"EHDSImagingReport.header.subject","EHDSImagingReport.header.subject","","","",1,1,"","","","http://ehds.eu/fhir/models/StructureDefinition/EHDSPatient {[]} {[]}
","Patient/subject information.","Patient/subject information.","","","","","","","","","",,,,,"",,,,"EHDSDataSet.header.subject",1,1,"",""
"EHDSImagingReport.header.identifier","EHDSImagingReport.header.identifier","","","",1,*,"","","","Identifier {[]} {[]}
","Unique identifier of the document.","Unique identifier of the document.","Business identifier is unique within the system that assigns them. The same entity may have different unique identifiers assigned by different systems. Therefore, the identifier is always expected to be a pair of a system and a value.","","","","","","","","",,,,,"",,,,"EHDSDataSet.header.identifier",0,*,"",""
"EHDSImagingReport.header.author[x]","EHDSImagingReport.header.author[x]","","","",1,*,"","","","http://ehds.eu/fhir/models/StructureDefinition/EHDSHealthProfessional {[]} {[]}
http://ehds.eu/fhir/models/StructureDefinition/EHDSOrganisation {[]} {[]}http://ehds.eu/fhir/models/StructureDefinition/EHDSDevice {[]} {[]}http://ehds.eu/fhir/models/StructureDefinition/EHDSPatient {[]} {[]}http://ehds.eu/fhir/models/StructureDefinition/EHDSRelatedPerson {[]} {[]}","Author of the document.","Author of the document.","Author(s) responsible for the provided information. The exact role of the responsible author varies across use cases and is specific to individual models.","","","","","","","","",,,,,"",,,,"EHDSDataSet.header.author[x]",0,*,"",""
"EHDSImagingReport.header.patientInsertedData","EHDSImagingReport.header.patientInsertedData","","","",0,1,"","","","boolean {[]} {[]}
","Indicator that states, when included with value ‘true’, that the contents of this resource represent information inserted by the natural person or their representative. In this case, the contents shall not be considered as verified by a health professional or a healthcare provider, even if digitally signed by them as part of a bigger data set. Details of the person who inserted the information may be provided in the author[x] element.","Indicator that states, when included with value ‘true’, that the contents of this resource represent information inserted by the natural person or their representative. In this case, the contents shall not be considered as verified by a health professional or a healthcare provider, even if digitally signed by them as part of a bigger data set. Details of the person who inserted the information may be provided in the author[x] element.","","","","","","","","","",,,,,"",,,,"EHDSDataSet.header.patientInsertedData",0,1,"",""
"EHDSImagingReport.header.date","EHDSImagingReport.header.date","","","",1,1,"","","","dateTime {[]} {[]}
","Date of finalising/issuing the document.","Date of finalising/issuing the document.","","","","","","","","","",,,,,"",,,,"EHDSDataSet.header.date",0,1,"",""
"EHDSImagingReport.header.status","EHDSImagingReport.header.status","","","",1,1,"","","","CodeableConcept {[]} {[]}
","Status of the document.","Status of the document.","","","","","","","","","",,"required","HL7 Composition Status","","",,,,"EHDSDataSet.header.status",1,1,"",""
"EHDSImagingReport.header.language","EHDSImagingReport.header.language","","","",0,1,"","","","CodeableConcept {[]} {[]}
","Language in which the document is written. Language is expressed by the IETF language tag.","Language in which the document is written. Language is expressed by the IETF language tag.","","","","","","","","","",,"required","BCP 47","","",,,,"EHDSDataSet.header.language",0,1,"",""
"EHDSImagingReport.header.documentType","EHDSImagingReport.header.documentType","","","",1,1,"","","","CodeableConcept {[]} {[]}
","Type of document (e.g. 18748-4 Diagnostic imaging study).","Type of document (e.g. 18748-4 Diagnostic imaging study).","","","","","","","","","",,"required","LOINC","","",,,,"EHDSDocument.header.documentType",1,1,"",""
"EHDSImagingReport.header.documentTitle","EHDSImagingReport.header.documentTitle","","","",1,1,"","","","string {[]} {[]}
","Human readable document title that can be displayed in search results, etc. This can be documentType's display name, or it can contain further information.","Human readable document title that can be displayed in search results, etc. This can be documentType's display name, or it can contain further information.","","","","","","","","","",,,,,"",,,,"EHDSDocument.header.documentTitle",1,1,"",""
"EHDSImagingReport.header.period","EHDSImagingReport.header.period","","","",0,1,"","","","Period {[]} {[]}
","Time of service that is being documented.","Time of service that is being documented.","","","","","","","","","",,,,,"",,,,"EHDSDocument.header.period",0,1,"",""
"EHDSImagingReport.header.version","EHDSImagingReport.header.version","","","",1,1,"","","","string {[]} {[]}
","Version of the document.","Version of the document.","","","","","","","","","",,,,,"",,,,"EHDSDocument.header.version",1,1,"",""
"EHDSImagingReport.header.attestation","EHDSImagingReport.header.attestation","","","",0,*,"","","","Base {[]} {[]}
","Document attestation details.","Document attestation details.","","","","","","","","","",,,,,"",,,,"EHDSDocument.header.attestation",0,*,"",""
"EHDSImagingReport.header.attestation.attester[x]","EHDSImagingReport.header.attestation.attester[x]","","","",1,1,"","","","http://ehds.eu/fhir/models/StructureDefinition/EHDSHealthProfessional {[]} {[]}
http://ehds.eu/fhir/models/StructureDefinition/EHDSDevice {[]} {[]}","Attester who validated the document.","Attester who validated the document.","","","","","","","","","",,,,,"",,,,"EHDSDocument.header.attestation.attester[x]",1,1,"",""
"EHDSImagingReport.header.attestation.dateTime","EHDSImagingReport.header.attestation.dateTime","","","",1,1,"","","","dateTime {[]} {[]}
","Date and time of the approval of the document by the attester.","Date and time of the approval of the document by the attester.","","","","","","","","","",,,,,"",,,,"EHDSDocument.header.attestation.dateTime",1,1,"",""
"EHDSImagingReport.header.legalAuthentication","EHDSImagingReport.header.legalAuthentication","","","",0,*,"","","","Base {[]} {[]}
","Document legal authentication details.","Document legal authentication details.","","","","","","","","","",,,,,"",,,,"EHDSDocument.header.legalAuthentication",0,*,"",""
"EHDSImagingReport.header.legalAuthentication.legalAuthenticator[x]","EHDSImagingReport.header.legalAuthentication.legalAuthenticator[x]","","","",1,1,"","","","http://ehds.eu/fhir/models/StructureDefinition/EHDSHealthProfessional {[]} {[]}
http://ehds.eu/fhir/models/StructureDefinition/EHDSOrganisation {[]} {[]}","The person or organisation taking responsibility for the content of the document.","The person or organisation taking responsibility for the content of the document.","","","","","","","","","",,,,,"",,,,"EHDSDocument.header.legalAuthentication.legalAuthenticator[x]",1,1,"",""
