Source File	Size	loadResources	load	generateSnapshots	load-configure	scan	loadDepInfo	loadInfo	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	translate	generate1	generate2	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
/fsh-generated/resources/ImplementationGuide-eu.ehds.models.json	23578	-	0	0	0	0	0	0	10	69	0	0	0	0	0	0	0	1	0	0	0	118	188	0	0	0	4	0	1
fsh-generated/resources/ActorDefinition-actor-basic.json	184	5	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	9	15	0	0	0	1	0	0
fsh-generated/resources/ActorDefinition-actor-full.json	181	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	7	10	0	0	0	0	0	0
fsh-generated/resources/StructureDefinition-EHDSAddress.json	11704	9	0	7	0	0	0	0	0	118	0	0	0	0	0	0	0	0	0	0	0	114	825	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-EHDSAdministeredDosage.json	1837	2	0	21	0	0	0	0	0	22	0	0	0	0	0	0	0	1	0	0	0	83	280	0	0	0	2	0	1
fsh-generated/resources/StructureDefinition-EHDSAdvanceDirective.json	9740	8	0	17	0	0	0	0	0	22	0	0	0	0	0	0	0	0	0	0	0	99	258	0	0	0	1	0	1
fsh-generated/resources/StructureDefinition-EHDSAlert.json	11143	6	0	8	0	0	0	0	0	19	0	0	0	0	0	0	0	0	0	0	0	105	265	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-EHDSAllergyIntolerance.json	18488	25	0	10	0	0	0	0	0	21	0	0	0	0	1	0	0	0	0	0	0	151	305	0	0	0	3	0	1
fsh-generated/resources/StructureDefinition-EHDSAttachment.json	8446	5	0	4	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	68	168	0	0	0	4	0	0
fsh-generated/resources/StructureDefinition-EHDSBodyStructure.json	7533	2	0	3	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	62	156	0	0	0	2	0	1
fsh-generated/resources/StructureDefinition-EHDSCarePlan.json	14981	5	0	13	0	0	0	0	0	28	0	0	0	0	0	0	0	1	0	0	0	143	280	0	0	0	3	0	1
fsh-generated/resources/StructureDefinition-EHDSCondition.json	20289	7	0	8	0	0	0	0	0	27	0	0	0	0	0	0	0	0	0	0	0	160	353	0	0	0	4	1	0
fsh-generated/resources/StructureDefinition-EHDSCurrentPregnancyStatus.json	10875	3	0	9	1	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	120	227	0	0	0	2	0	1
fsh-generated/resources/StructureDefinition-EHDSDataSet.json	9945	3	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	95	169	0	0	0	2	0	0
