"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)","Mapping: RIM Mapping"
"EHDSImagingStudy","EHDSImagingStudy","","","",0,*,"","","","null {[]} {[]}
","Imaging study model","EHDSImagingStudy means the structured set of data elements for facilitating the exchange of imaging studies. Its goal is to enable the exchange of imaging studies regardless of whether the corresponding imaging report is available. It contains metadata that includes the endpoint where the imaging study is located. EHDSImagingStudy may be represented using DICOM KOS and/or HL7 FHIR, depending on the implementation guide.","","","","","","","","","",,,,,"",,,,"Base",0,*,"","","n/a"
"EHDSImagingStudy.header","EHDSImagingStudy.header","","","",1,1,"","","","Base {[]} {[]}
","Basic metadata for this information.","Basic metadata for this information.","","","","","","","","","",,,,,"",,,,"EHDSDataSet.header",1,1,"",""
"EHDSImagingStudy.header.subject","EHDSImagingStudy.header.subject","","","",1,1,"","","","http://ehds.eu/fhir/models/StructureDefinition/EHDSPatient {[]} {[]}
","Patient/subject information.","Patient/subject information.","","","","","","","","","",,,,,"",,,,"EHDSDataSet.header.subject",1,1,"",""
"EHDSImagingStudy.header.identifier","EHDSImagingStudy.header.identifier","","","",1,*,"","","","Identifier {[]} {[]}
","Business identifier assigned to the resource or document (not a patient ID and not the technical resource ID).","Identifiers for the imaging study such as DICOM Study Instance UID. If one or more series elements are present in the imaging study, then there shall be one DICOM Study UID identifier.","Business identifier is unique within the system that assigns them. The same entity may have different unique identifiers assigned by different systems. Therefore, the identifier is always expected to be a pair of a system and a value.","","","","","","","","",,,,,"",,,,"EHDSDataSet.header.identifier",0,*,"",""
"EHDSImagingStudy.header.author[x]","EHDSImagingStudy.header.author[x]","","","",1,*,"","","","http://ehds.eu/fhir/models/StructureDefinition/EHDSHealthProfessional {[]} {[]}
http://ehds.eu/fhir/models/StructureDefinition/EHDSOrganisation {[]} {[]}http://ehds.eu/fhir/models/StructureDefinition/EHDSDevice {[]} {[]}","Author of the resource.","Author of the resource.","Author(s) responsible for the provided information. The exact role of the responsible author varies across use cases and is specific to individual models.","","","","","","","","",,,,,"",,,,"EHDSDataSet.header.author[x]",0,*,"",""
"EHDSImagingStudy.header.patientInsertedData","EHDSImagingStudy.header.patientInsertedData","","","",0,0,"","","","boolean {[]} {[]}
","Indicator that states, when included with value ‘true’, that the contents of this resource represent information inserted by the natural person or their representative. In this case, the contents shall not be considered as verified by a health professional or a healthcare provider, even if digitally signed by them as part of a bigger data set. Details of the person who inserted the information may be provided in the author[x] element.","Indicator that states, when included with value ‘true’, that the contents of this resource represent information inserted by the natural person or their representative. In this case, the contents shall not be considered as verified by a health professional or a healthcare provider, even if digitally signed by them as part of a bigger data set. Details of the person who inserted the information may be provided in the author[x] element.","","","","","","","","","",,,,,"",,,,"EHDSDataSet.header.patientInsertedData",0,1,"",""
"EHDSImagingStudy.header.date","EHDSImagingStudy.header.date","","","",1,1,"","","","dateTime {[]} {[]}
","Date and optionally time of authoring/issuing.","Date and optionally time of authoring/issuing.","","","","","","","","","",,,,,"",,,,"EHDSDataSet.header.date",0,1,"",""
"EHDSImagingStudy.header.status","EHDSImagingStudy.header.status","","","",1,1,"","","","CodeableConcept {[]} {[]}
","Status of the resource.","Status of the resource.","","","","","","","","","",,"required","HL7 Imaging Study Status","","",,,,"EHDSDataSet.header.status",1,1,"",""
"EHDSImagingStudy.header.language","EHDSImagingStudy.header.language","","","",0,1,"","","","CodeableConcept {[]} {[]}
","Language in which the resource is written. Language is expressed by the IETF language tag.","Language in which the resource is written. Language is expressed by the IETF language tag.","","","","","","","","","",,"required","BCP 47","","",,,,"EHDSDataSet.header.language",0,1,"",""
"EHDSImagingStudy.presentedForm","EHDSImagingStudy.presentedForm","","","",0,*,"","","","http://ehds.eu/fhir/models/StructureDefinition/EHDSAttachment {[]} {[]}
","PDF version of the imaging study to be used where DICOM version is not available.","PDF version of the imaging study to be used where DICOM version is not available.","","","","","","","","","",,,,,"",,,,"EHDSImagingStudy.presentedForm",0,*,"",""
"EHDSImagingStudy.modality","EHDSImagingStudy.modality","","","",0,*,"","","","CodeableConcept {[]} {[]}
","All of the distinct values for series' modalities","All of the distinct values for series' modalities","","","","","","","","","",,"required","DICOM CID 33 Modality","","",,,,"EHDSImagingStudy.modality",0,*,"",""
"EHDSImagingStudy.bodySite","EHDSImagingStudy.bodySite","","","",0,*,"","","","http://ehds.eu/fhir/models/StructureDefinition/EHDSBodyStructure {[]} {[]}
","All of the distinct values for series' examined body parts.","All of the distinct values for series' examined body parts.","","","","","","","","","",,,,,"",,,,"EHDSImagingStudy.bodySite",0,*,"",""
"EHDSImagingStudy.encounter","EHDSImagingStudy.encounter","","","",0,1,"","","","http://ehds.eu/fhir/models/StructureDefinition/EHDSEncounter {[]} {[]}
","Reference to the encounter with which this imaging study is associated.","Reference to the encounter with which this imaging study is associated.","","","","","","","","","",,,,,"",,,,"EHDSImagingStudy.encounter",0,1,"",""
"EHDSImagingStudy.started","EHDSImagingStudy.started","","","",0,1,"","","","dateTime {[]} {[]}
","Date and time the study started.","Date and time the study started.","","","","","","","","","",,,,,"",,,,"EHDSImagingStudy.started",0,1,"",""
"EHDSImagingStudy.basedOn","EHDSImagingStudy.basedOn","","","",0,*,"","","","http://ehds.eu/fhir/models/StructureDefinition/EHDSServiceRequest {[]} {[]}
","Reference to the diagnostic request that resulted in this imaging study being performed.","Reference to the diagnostic request that resulted in this imaging study being performed.","","","","","","","","","",,,,,"",,,,"EHDSImagingStudy.basedOn",0,*,"",""
"EHDSImagingStudy.numberOfSeries","EHDSImagingStudy.numberOfSeries","","","",0,1,"","","","integer {[]} {[]}
","Number of series in the study.","Number of series in the study.","","","","","","","","","",,,,,"",,,,"EHDSImagingStudy.numberOfSeries",0,1,"",""
"EHDSImagingStudy.numberOfInstances","EHDSImagingStudy.numberOfInstances","","","",0,1,"","","","integer {[]} {[]}
","Number of service-object pair (SOP) instances in the study. This value given may be larger than the number of instance elements this resource contains due to resource availability, security, or other factors. This element should be present if any instance elements are present.","Number of service-object pair (SOP) instances in the study. This value given may be larger than the number of instance elements this resource contains due to resource availability, security, or other factors. This element should be present if any instance elements are present.","","","","","","","","","",,,,,"",,,,"EHDSImagingStudy.numberOfInstances",0,1,"",""
"EHDSImagingStudy.description","EHDSImagingStudy.description","","","",0,1,"","","","string {[]} {[]}
","The imaging manager description of the study. Institution-generated description or classification of the study (component) performed.","The imaging manager description of the study. Institution-generated description or classification of the study (component) performed.","","","","","","","","","",,,,,"",,,,"EHDSImagingStudy.description",0,1,"",""
"EHDSImagingStudy.studyCustodian","EHDSImagingStudy.studyCustodian","","","",0,1,"","","","http://ehds.eu/fhir/models/StructureDefinition/EHDSOrganisation {[]} {[]}
","Organisation name, address, contact information.","Organisation name, address, contact information.","","","","","","","","","",,,,,"",,,,"EHDSImagingStudy.studyCustodian",0,1,"",""
"EHDSImagingStudy.studyEndpoint","EHDSImagingStudy.studyEndpoint","","","",0,*,"","","","http://ehds.eu/fhir/models/StructureDefinition/EHDSEndpoint {[]} {[]}
","Study endpoint describing the technical details of a location that can be connected to for the delivery/retrieval of information. Sufficient information is required to ensure that a connection can be made securely, and appropriate data transmitted as defined by the endpoint owner. These may be locally hosted services, regional services, or national service.","Study endpoint describing the technical details of a location that can be connected to for the delivery/retrieval of information. Sufficient information is required to ensure that a connection can be made securely, and appropriate data transmitted as defined by the endpoint owner. These may be locally hosted services, regional services, or national service.","","","","","","","","","",,,,,"",,,,"EHDSImagingStudy.studyEndpoint",0,*,"",""
"EHDSImagingStudy.series","EHDSImagingStudy.series","","","",0,*,"","","","Base {[]} {[]}
","Series. Each study has one or more series of instances, but they may be absent when no series information needs to be conveyed.","Series. Each study has one or more series of instances, but they may be absent when no series information needs to be conveyed.","","","","","","","","","",,,,,"",,,,"EHDSImagingStudy.series",0,*,"",""
