"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)","Mapping: RIM Mapping"
"EHDSMedication","EHDSMedication","","","",0,*,"","","","null {[]} {[]}
","Medication model","EHDSMedication means a structured set of data elements describing a medicinal product.","","","","","","","","","",,,,,"",,,,"Base",0,*,"","","n/a"
"EHDSMedication.identifyingCode[x]","EHDSMedication.identifyingCode[x]","","","",0,*,"","","","CodeableConcept {[]} {[]}
Identifier {[]} {[]}","An identifier or a code for the product (virtual product, branded product, or package). If several identifiers are specified, they shall not have conflicting meanings or very different granularities. An identifier might not exist e.g. for substance-based prescriptions.","An identifier or a code for the product (virtual product, branded product, or package). If several identifiers are specified, they shall not have conflicting meanings or very different granularities. An identifier might not exist e.g. for substance-based prescriptions.","","","","","","","","","",,"required","SNOMED CT, EMA SPOR PMS, or a national coding system or register.","","",,,,"EHDSMedication.identifyingCode[x]",0,*,"",""
"EHDSMedication.classification","EHDSMedication.classification","","","",0,*,"","","","CodeableConcept {[]} {[]}
","Anatomical therapeutic chemical classification or another classification (e.g. narcotic/psychotropic; orphan drug).","Anatomical therapeutic chemical classification or another classification (e.g. narcotic/psychotropic; orphan drug).","","","","","","","","","",,"required","WHO ATC, non-binding code-systems for other classifications","","",,,,"EHDSMedication.classification",0,*,"",""
"EHDSMedication.productName","EHDSMedication.productName","","","",0,1,"","","","string {[]} {[]}
","Current trade name (authorised name) of the product. When medication is specified by a CodeableConcept, the name may be omitted when available as the display name of the concept.","Current trade name (authorised name) of the product. When medication is specified by a CodeableConcept, the name may be omitted when available as the display name of the concept.","","","","","","","","","",,,,,"",,,,"EHDSMedication.productName",0,1,"",""
"EHDSMedication.marketingAuthorisationHolder","EHDSMedication.marketingAuthorisationHolder","","","",0,1,"","","","Base {[]} {[]}
","Marketing authorisation holder of the medicinal product. Relevant for identifying the exact product. If the product does not have a marketing authorisation, the manufacturer information may be used.","Marketing authorisation holder of the medicinal product. Relevant for identifying the exact product. If the product does not have a marketing authorisation, the manufacturer information may be used.","","","","","","","","","",,,,,"",,,,"EHDSMedication.marketingAuthorisationHolder",0,1,"",""
"EHDSMedication.marketingAuthorisationHolder.organisationName","EHDSMedication.marketingAuthorisationHolder.organisationName","","","",0,1,"","","","string {[]} {[]}
","Name of the organisation holding the authorisation for marketing/manufacturing.","Name of the organisation holding the authorisation for marketing/manufacturing.","","","","","","","","","",,,,,"",,,,"EHDSMedication.marketingAuthorisationHolder.organisationName",0,1,"",""
"EHDSMedication.marketingAuthorisationHolder.organisationIdentifier","EHDSMedication.marketingAuthorisationHolder.organisationIdentifier","","","",0,*,"","","","Identifier {[]} {[]}
","Identifier of the organisation and/or its physical location.","Identifier of the organisation and/or its physical location.","","","","","","","","","",,,,,"",,,,"EHDSMedication.marketingAuthorisationHolder.organisationIdentifier",0,*,"",""
"EHDSMedication.doseForm","EHDSMedication.doseForm","","","",0,1,"","","","CodeableConcept {[]} {[]}
","Dose form at the package level (e.g. authorised dose form), corresponding to IDMP Combined Pharmaceutical Dose Form (this includes terms from EDQM Combination Pack or Combined Dose Form lists). Dose form for a single package item is defined in item.doseForm.","Dose form at the package level (e.g. authorised dose form), corresponding to IDMP Combined Pharmaceutical Dose Form (this includes terms from EDQM Combination Pack or Combined Dose Form lists). Dose form for a single package item is defined in item.doseForm.","","","","","","","","","",,"required","EDQM Standard Terms","","",,,,"EHDSMedication.doseForm",0,1,"",""
"EHDSMedication.description","EHDSMedication.description","","","",0,1,"","","","string {[]} {[]}
","Textual description of the product, e.g. including package description.","Textual description of the product, e.g. including package description.","","","","","","","","","",,,,,"",,,,"EHDSMedication.description",0,1,"",""
"EHDSMedication.item","EHDSMedication.item","","","",0,*,"","","","Base {[]} {[]}
","A medication item. For combination packs, this can be multiple manufactured items with each item having its own dose form and ingredients+strengths defined.","A medication item. For combination packs, this can be multiple manufactured items with each item having its own dose form and ingredients+strengths defined.","","","","","","","","","",,,,,"",,,,"EHDSMedication.item",0,*,"",""
