"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)","Mapping: RIM Mapping"
"EHDSEncounter","EHDSEncounter","","","",0,*,"","","","null {[]} {[]}
","Encounter model","EHDSEncounter means a structured set of data elements describing a patient's interaction with a healthcare service, but excluding the tracking of broader episodes of care (e.g., a maternity episode from first antenatal visit through delivery and postnatal follow-up) extending beyond individual encounters.","","","","","","","","","",,,,,"",,,,"Base",0,*,"","","n/a"
"EHDSEncounter.header","EHDSEncounter.header","","","",1,1,"","","","Base {[]} {[]}
","Basic metadata for this information.","Basic metadata for this information.","","","","","","","","","",,,,,"",,,,"EHDSDataSet.header",1,1,"",""
"EHDSEncounter.header.subject","EHDSEncounter.header.subject","","","",1,1,"","","","http://ehds.eu/fhir/models/StructureDefinition/EHDSPatient {[]} {[]}
","Patient/subject information.","Patient/subject information.","","","","","","","","","",,,,,"",,,,"EHDSDataSet.header.subject",1,1,"",""
"EHDSEncounter.header.identifier","EHDSEncounter.header.identifier","","","",0,*,"","","","Identifier {[]} {[]}
","Business identifier assigned to the resource or document (not a patient ID and not the technical resource ID).","Business identifier assigned to the resource or document (not a patient ID and not the technical resource ID).","Business identifier is unique within the system that assigns them. The same entity may have different unique identifiers assigned by different systems. Therefore, the identifier is always expected to be a pair of a system and a value.","","","","","","","","",,,,,"",,,,"EHDSDataSet.header.identifier",0,*,"",""
"EHDSEncounter.header.author[x]","EHDSEncounter.header.author[x]","","","",0,*,"","","","http://ehds.eu/fhir/models/StructureDefinition/EHDSHealthProfessional {[]} {[]}
http://ehds.eu/fhir/models/StructureDefinition/EHDSOrganisation {[]} {[]}http://ehds.eu/fhir/models/StructureDefinition/EHDSDevice {[]} {[]}http://ehds.eu/fhir/models/StructureDefinition/EHDSPatient {[]} {[]}http://ehds.eu/fhir/models/StructureDefinition/EHDSRelatedPerson {[]} {[]}","Author of the resource.","Author (typically a health professional) who is responsible for this encounter.","Author(s) responsible for the provided information. The exact role of the responsible author varies across use cases and is specific to individual models.","","","","","","","","",,,,,"",,,,"EHDSDataSet.header.author[x]",0,*,"",""
"EHDSEncounter.header.patientInsertedData","EHDSEncounter.header.patientInsertedData","","","",0,1,"","","","boolean {[]} {[]}
","Indicator that states, when included with value ‘true’, that the contents of this resource represent information inserted by the natural person or their representative. In this case, the contents shall not be considered as verified by a health professional or a healthcare provider, even if digitally signed by them as part of a bigger data set. Details of the person who inserted the information may be provided in the author[x] element.","Indicator that states, when included with value ‘true’, that the contents of this resource represent information inserted by the natural person or their representative. In this case, the contents shall not be considered as verified by a health professional or a healthcare provider, even if digitally signed by them as part of a bigger data set. Details of the person who inserted the information may be provided in the author[x] element.","","","","","","","","","",,,,,"",,,,"EHDSDataSet.header.patientInsertedData",0,1,"",""
"EHDSEncounter.header.date","EHDSEncounter.header.date","","","",0,1,"","","","dateTime {[]} {[]}
","Date and optionally time of authoring/issuing.","Date and optionally time of authoring/issuing.","","","","","","","","","",,,,,"",,,,"EHDSDataSet.header.date",0,1,"",""
"EHDSEncounter.header.status","EHDSEncounter.header.status","","","",1,1,"","","","CodeableConcept {[]} {[]}
","Status of the encounter (e.g. discharged, discontinued, completed).","Status of the encounter (e.g. discharged, discontinued, completed).","","","","","","","","","",,"required","Defined in the individual data set.","","",,,,"EHDSDataSet.header.status",1,1,"",""
"EHDSEncounter.header.language","EHDSEncounter.header.language","","","",0,1,"","","","CodeableConcept {[]} {[]}
","Language in which the resource is written. Language is expressed by the IETF language tag.","Language in which the resource is written. Language is expressed by the IETF language tag.","","","","","","","","","",,"required","BCP 47","","",,,,"EHDSDataSet.header.language",0,1,"",""
"EHDSEncounter.priority","EHDSEncounter.priority","","","",0,1,"","","","CodeableConcept {[]} {[]}
","Indicates the urgency of the encounter (e.g. urgent, routine).","Indicates the urgency of the encounter (e.g. urgent, routine).","","","","","","","","","",,"required","HL7 Act Priority","","",,,,"EHDSEncounter.priority",0,1,"",""
"EHDSEncounter.class","EHDSEncounter.class","","","",1,1,"","","","CodeableConcept {[]} {[]}
","Class of the encounter (inpatient, ambulatory, virtual).","Class of the encounter (inpatient, ambulatory, virtual).","","","","","","","","","",,"required","HL7 Act Encounter Code","","",,,,"EHDSEncounter.class",1,1,"",""
"EHDSEncounter.period","EHDSEncounter.period","","","",1,1,"","","","Period {[]} {[]}
","The actual start and end time of the encounter.","The actual start and end time of the encounter.","","","","","","","","","",,,,,"",,,,"EHDSEncounter.period",1,1,"",""
"EHDSEncounter.serviceProvider","EHDSEncounter.serviceProvider","","","",0,1,"","","","http://ehds.eu/fhir/models/StructureDefinition/EHDSOrganisation {[]} {[]}
","The organisation (facility) responsible for this encounter.","The organisation (facility) responsible for this encounter.","","","","","","","","","",,,,,"",,,,"EHDSEncounter.serviceProvider",0,1,"",""
"EHDSEncounter.referringProfessional","EHDSEncounter.referringProfessional","","","",0,1,"","","","http://ehds.eu/fhir/models/StructureDefinition/EHDSHealthProfessional {[]} {[]}
","Referring healthcare professional.","Referring healthcare professional.","","","","","","","","","",,,,,"",,,,"EHDSEncounter.referringProfessional",0,1,"",""
"EHDSEncounter.basedOn[x]","EHDSEncounter.basedOn[x]","","","",0,*,"","","","http://ehds.eu/fhir/models/StructureDefinition/EHDSCarePlan {[]} {[]}
http://ehds.eu/fhir/models/StructureDefinition/EHDSServiceRequest {[]} {[]}","Reference to the request that initiated this encounter.","Reference to the request that initiated this encounter.","","","","","","","","","",,,,,"",,,,"EHDSEncounter.basedOn[x]",0,*,"",""
