Source File	Size	loadResources	load	generateSnapshots	load-configure	scan	loadDepInfo	loadInfo	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	translate	generate1	generate2	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
/fsh-generated/resources/ImplementationGuide-eu.ehds.models.json	23578	-	0	0	0	0	0	0	12	82	0	0	0	0	1	0	0	1	0	0	0	113	243	0	0	0	3	0	2
fsh-generated/resources/ActorDefinition-actor-basic.json	184	5	0	0	1	0	0	0	0	3	0	0	0	2	0	0	0	0	0	0	0	10	15	0	0	0	0	0	0
fsh-generated/resources/ActorDefinition-actor-full.json	181	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	8	11	0	0	1	1	0	0
fsh-generated/resources/StructureDefinition-EHDSAddress.json	11704	11	0	10	0	0	0	0	0	112	0	0	1	0	0	0	0	0	0	0	0	98	1066	0	0	0	2	1	1
fsh-generated/resources/StructureDefinition-EHDSAdministeredDosage.json	1837	3	0	22	0	0	0	0	0	25	0	0	0	0	0	0	0	0	0	0	0	76	260	0	0	0	2	0	3
fsh-generated/resources/StructureDefinition-EHDSAdvanceDirective.json	9740	6	0	16	0	0	0	0	0	25	0	0	0	0	0	0	0	1	0	0	0	100	273	0	0	0	2	0	2
fsh-generated/resources/StructureDefinition-EHDSAlert.json	11143	6	0	10	0	0	0	0	0	22	0	0	0	0	0	0	0	0	0	0	0	102	277	0	0	0	3	0	2
fsh-generated/resources/StructureDefinition-EHDSAllergyIntolerance.json	18488	8	0	13	0	0	0	0	0	66	0	0	0	0	0	0	0	0	0	0	0	175	332	0	0	0	3	0	1
fsh-generated/resources/StructureDefinition-EHDSAttachment.json	8446	5	0	6	0	0	0	0	0	19	0	0	0	0	0	0	0	1	0	0	0	82	175	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-EHDSBodyStructure.json	7533	4	0	6	0	0	0	0	0	24	0	0	0	0	0	0	0	0	0	0	0	75	162	0	0	0	1	0	1
fsh-generated/resources/StructureDefinition-EHDSCarePlan.json	14981	7	0	14	1	0	0	0	0	41	0	0	0	0	0	0	0	0	0	0	0	177	288	0	0	0	4	0	0
fsh-generated/resources/StructureDefinition-EHDSCondition.json	20289	8	0	13	0	0	0	0	0	28	0	0	0	0	0	0	0	1	0	0	0	182	345	0	0	0	4	0	1
fsh-generated/resources/StructureDefinition-EHDSCurrentPregnancyStatus.json	10875	6	0	8	0	0	0	0	0	19	0	0	0	0	0	0	0	0	0	0	0	90	221	0	0	0	3	0	1
fsh-generated/resources/StructureDefinition-EHDSDataSet.json	9945	5	0	1	0	0	0	0	0	17	0	0	0	0	1	0	0	0	0	0	0	78	179	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-EHDSDevice.json	17899	8	0	8	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	104	242	0	0	0	3	0	0
fsh-generated/resources/StructureDefinition-EHDSDeviceUse.json	10959	4	0	9	0	0	0	0	0	22	0	0	0	0	0	0	0	0	0	0	0	104	235	0	0	0	3	0	1
fsh-generated/resources/StructureDefinition-EHDSDischargeReport.json	64467	21	0	43	0	0	0	0	0	117	0	0	0	0	0	0	0	1	0	0	0	433	624	0	1	0	10	0	2
fsh-generated/resources/StructureDefinition-EHDSDocument.json	24953	11	0	1	0	0	0	0	0	35	0	0	0	0	0	0	0	0	0	0	0	171	240	0	0	0	4	0	1
fsh-generated/resources/StructureDefinition-EHDSDosage.json	26310	10	0	1	0	0	0	0	0	56	0	0	1	0	0	0	0	0	0	0	0	165	315	0	0	0	5	0	1
fsh-generated/resources/StructureDefinition-EHDSEncounter.json	29756	11	0	16	0	0	0	0	0	46	0	0	0	0	0	0	0	0	0	0	0	207	425	0	0	0	6	0	1
fsh-generated/resources/StructureDefinition-EHDSEndpoint.json	15063	6	0	7	0	0	0	0	0	18	0	0	0	0	0	0	0	1	0	0	0	89	251	0	0	0	2	0	1
fsh-generated/resources/StructureDefinition-EHDSHealthProfessional.json	11603	5	0	5	0	0	0	0	0	20	0	0	0	0	1	0	0	0	0	0	0	73	159	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-EHDSHumanName.json	8238	3	0	4	1	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	54	148	0	0	0	1	0	1
fsh-generated/resources/StructureDefinition-EHDSImagingReport.json	56008	19	0	31	0	0	0	0	0	46	0	0	0	0	0	0	0	0	0	0	0	411	698	0	0	0	8	0	2
fsh-generated/resources/StructureDefinition-EHDSImagingStudy.json	46870	16	0	24	0	0	0	0	0	41	0	0	0	0	0	0	0	0	0	0	0	279	482	0	0	0	5	0	2
fsh-generated/resources/StructureDefinition-EHDSImmunisation.json	13679	6	0	10	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	101	216	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-EHDSLaboratoryObservation.json	8837	4	0	49	0	0	0	0	0	17	0	0	0	0	1	0	0	1	0	0	0	162	458	0	0	0	5	0	2
