Source File	Size	loadResources	load	generateSnapshots	load-configure	scan	loadDepInfo	loadInfo	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	translate	generate1	generate2	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
/fsh-generated/resources/ImplementationGuide-eu.ehds.models.json	23578	-	0	0	0	0	0	0	13	72	0	0	0	0	1	0	0	1	0	0	0	115	243	0	0	0	3	0	1
fsh-generated/resources/ActorDefinition-actor-basic.json	184	4	0	0	1	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	9	16	0	0	0	0	0	0
fsh-generated/resources/ActorDefinition-actor-full.json	181	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	8	12	0	0	0	0	0	0
fsh-generated/resources/StructureDefinition-EHDSAddress.json	11704	11	0	11	0	0	0	0	0	123	0	0	0	0	0	0	0	0	0	0	0	95	948	0	0	0	2	0	1
fsh-generated/resources/StructureDefinition-EHDSAdministeredDosage.json	1837	2	0	27	0	0	0	0	0	19	0	0	0	0	0	0	0	1	0	0	0	74	260	0	0	0	2	0	2
fsh-generated/resources/StructureDefinition-EHDSAdvanceDirective.json	9740	4	0	13	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	92	275	0	0	0	2	0	2
fsh-generated/resources/StructureDefinition-EHDSAlert.json	11143	7	0	10	0	0	0	0	0	22	0	0	0	0	0	0	0	0	0	0	0	92	272	0	0	0	2	0	1
fsh-generated/resources/StructureDefinition-EHDSAllergyIntolerance.json	18488	6	0	13	0	0	0	0	0	29	0	0	1	0	0	0	0	1	0	0	0	136	373	0	0	0	3	1	2
fsh-generated/resources/StructureDefinition-EHDSAttachment.json	8446	3	0	5	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	61	188	0	0	0	1	0	1
fsh-generated/resources/StructureDefinition-EHDSBodyStructure.json	7533	3	0	4	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	64	173	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-EHDSCarePlan.json	14981	5	0	13	0	0	0	0	0	30	0	0	0	0	0	0	0	0	0	0	0	138	303	0	0	0	3	0	1
fsh-generated/resources/StructureDefinition-EHDSCondition.json	20289	8	0	9	0	0	0	0	0	61	0	0	0	0	0	0	0	0	0	0	0	182	336	0	0	0	4	0	1
fsh-generated/resources/StructureDefinition-EHDSCurrentPregnancyStatus.json	10875	4	0	9	0	0	0	0	0	22	0	0	0	0	0	0	0	0	0	0	0	90	248	0	0	0	3	0	0
fsh-generated/resources/StructureDefinition-EHDSDataSet.json	9945	3	0	0	0	0	0	0	0	21	0	0	0	0	0	0	0	0	0	0	0	78	180	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-EHDSDevice.json	17899	5	0	7	0	0	0	0	0	23	0	0	0	0	1	0	0	0	0	0	0	116	253	0	0	0	3	0	0
fsh-generated/resources/StructureDefinition-EHDSDeviceUse.json	10959	4	0	6	0	0	0	0	0	26	0	0	0	0	0	0	0	0	0	0	0	103	267	0	0	0	3	0	1
fsh-generated/resources/StructureDefinition-EHDSDischargeReport.json	64467	17	0	32	0	0	0	0	0	118	0	0	0	0	0	0	0	1	0	0	0	430	778	0	0	0	15	0	1
fsh-generated/resources/StructureDefinition-EHDSDocument.json	24953	7	0	1	0	0	0	0	0	33	0	0	0	0	0	0	0	0	0	0	0	173	326	0	0	0	6	0	1
fsh-generated/resources/StructureDefinition-EHDSDosage.json	26310	7	0	1	0	0	0	0	0	37	0	0	0	0	0	0	0	0	0	0	0	168	335	0	0	0	4	0	0
